companyCode,news_stress,entity_stress_fundamental
VEGRLP,0.4771,31.8
VEGRSL,0.3014,7.3
VEGSUL,0.2906,7.42
VENPPL,0.4528,23.27
VEXPPL,0.4428,24.02
VFCPL,0.5242,39.29
VFFSTA,0.4507,12.39
VGACPL,0.3701,9.3
VHDAUO,0.5182,10.93
VHTCSPL,0.2071,20.55
VIBPTL,0.5105,16.55
VICAUT,0.4477,60.0
VICPEL,0.407,10.67
VIEIPL,0.5013,16.11
VIGDPL,0.5195,60.0
VIIFPL,0.2082,12.67
VIJAUT,0.3396,19.95
VINEYC,0.404,24.65
VINOPL,0.3913,29.31
VINSKL,0.3501,33.39
VINSPL,0.5162,13.99
VIPPEL,0.3551,27.83
VIRSYI,0.3838,11.52
VISEL,0.204,16.91
VISPPI,0.3616,24.01
VITDPI,0.3376,13.63
VITPL,0.2625,10.92
VIVPH,0.672,38.11
VJIDPL,0.527,12.83
VKMIPL,0.0397,16.41
VMNOSPL,0.3405,9.73
VMRFJRM,0.5323,85.21
VMRGTPL,0.3503,10.98
VNCSTDTS,0.0391,12.58
VODOPL,0.4417,11.07
VPDCLTD,0.2595,21.44
VPJF,0.0666,12.83
VPKMPL,0.5762,10.88
VPSCPL,0.4003,13.05
VRCCIPL,0.2283,11.77
VREML,0.3301,20.5
VRETPL,0.8164,63.15
VRJPI,0.3747,47.08
VRSPIPL,0.9221,17.61
VRTEPL,0.4423,28.1
VSCNC,0.497,84.8
VSCWL,0.6424,22.84
VSLAIPPPL,0.4516,22.29
VSNDPL,0.326,13.24
VSNDSHM,0.3377,9.96
VSNRPL,0.5478,34.56
VSSKLTD,0.3849,86.37
VSTHC,0.3587,11.55
VSTIPL,0.3127,21.81
VTCFPV,0.3465,15.65
VTDY,0.9304,9.93
VTML,0.3684,10.92
VVCNST,0.3655,13.8
VVFIDLD,0.4635,19.47
VVVSEOL,0.4183,11.44
VWDXPL,0.2948,9.6
VWILTD,0.5293,25.71
VWMSAE,0.2279,11.3
VWPL,0.1681,17.15
VYBHSPL,0.4957,85.77
WAIIPL,0.4842,65.94
WALTPL,0.3339,12.9
WAONPL,0.451,39.87
WAWIPL,0.3544,10.18
WBES,0.3102,12.11
WDLP,0.4349,11.81
WDSSLTD,0.4352,35.26
WEAPPL,0.3233,10.35
WEEJPL,0.351,60.0
WGDISPL,0.5099,30.75
WGSR,0.245,11.09
WHPRLI,0.4385,16.91
WICCPL,0.278,11.33
WILTD,0.3384,10.68
WLCMF,0.4856,39.02
WLPTP,0.1817,8.75
WMNHPJS,0.4528,13.58
WNEN,0.5391,25.66
WOFIPL,0.4014,12.72
WOREPL,0.7898,9.58
WSFPPL,0.289,8.92
WTIL,0.4034,11.42
WTNC,0.2296,10.64
WVDSBL,0.4512,38.46
WVID,0.4587,39.03
WVMSPL,0.4862,10.93
YABTPL,0.5839,12.62
YAPIPL,0.3944,9.41
YATEPL,0.3718,12.09
YEATPL,0.1433,9.79
YEMASE,0.3281,11.18
YEPRLI,0.4185,13.93
YOTSPL,0.4094,12.28
YSOI,0.2519,11.41
ZAIPL,0.397,39.29
ZCLC,0.4771,37.72
ZELEPL,0.2647,12.58
ZEOIDP,0.4091,9.77
ZLAQ,0.3654,25.67
ZLTI,0.4269,30.98
ZODCLOT,0.5317,23.01
ZOESAP,0.4337,38.7
ZOINPL52,0.3912,17.05
