companyCode,news_stress,entity_stress_fundamental
CGSCPL,0.5337,30.24
CGSIBI,0.5045,16.31
CHADHA,0.6237,23.4
CHANDENTL,0.4271,17.16
CHBYPL,0.4227,10.51
CHCTPL,0.4551,6.56
CHEAGR,0.4818,10.14
CHEANDP,0.6428,11.48
CHESPL,0.5414,30.72
CHHL,0.3031,10.87
CHIFOO,0.4239,12.32
CHJLYMT,0.4564,12.87
CHNCJL,0.451,17.56
CHOSEC,0.3569,13.42
CHPIPL,0.2806,10.03
CHPORL,0.4286,38.08
CHYTTS,0.5743,42.27
CIMEL,0.3435,14.38
CISBFSPL,0.4203,12.64
CJSTCL,0.4175,10.18
CLADMI,0.4286,10.19
CLAPDPL,0.407,40.19
CLBGHP,0.2754,12.19
CLBRVL,0.3105,18.07
CLGAII,0.3975,22.94
CLPTLD,0.399,8.24
CMALPL,0.3296,9.04
CMCRNP,0.455,12.97
CMEAPL,0.3989,10.22
CMFPJ,0.4274,13.41
CMGRTL,0.4557,12.96
CMIXPL,0.3699,9.72
CMJBRL,0.4576,86.96
CMLSIPL,0.3371,14.4
CMNSL,0.3783,10.83
CMPRPL,0.4235,13.73
CMRNKIPL,0.4991,11.92
CMRTAIPL,0.0669,9.35
CMSETPL,0.5349,9.17
CMSOPL,0.3553,8.87
CMYTIPL,0.5036,35.71
CNABPL93,0.2092,12.57
CNFMN,0.4906,60.0
CNSAEX,0.3931,13.48
CNSCC,0.4754,31.18
CNTHP,0.5171,9.95
COATES,0.5152,8.16
COGFPL,0.472,9.09
COIMIP,0.5256,9.63
CONCEPH,0.3924,14.24
COPOPL,0.3404,7.8
COREIM,0.332,12.7
CORFERT,0.3966,10.44
COSFILM,0.3759,11.14
COTEPL,0.5582,12.0
CPCLTD,0.3622,13.54
CPMFPPL,0.2354,11.62
CPSRPL,0.2816,16.58
CPVFAC,0.5837,9.8
CRAPL,0.2516,11.9
CRAUPI,0.4662,23.56
CRECHE,0.5694,34.73
CRECPI,0.5634,30.84
CREHEP,0.4023,12.8
CREHTP,0.2885,12.5
CREPRO,0.4538,32.93
CREWPL,0.4572,11.58
CRGCEL,0.3828,12.08
CRIDSP,0.3453,11.76
CRPL,0.422,11.22
CSCCPL,0.6306,28.73
CSCSIPL,0.4526,13.12
CSDCGE,0.2196,17.06
CSLCPPL,0.3283,10.58
CSLTD,0.345,37.89
CSMOEI,0.4829,11.98
CSRWL,0.073,16.96
CTNIFC,0.4534,11.42
CTNLPL,0.3469,38.93
CTPCPL,0.3227,15.8
CTPSDPL,0.2745,11.6
CTYTPPL,0.382,11.3
CUMIPL,0.208,11.67
CVMPL,0.5237,32.04
DAALPI,0.0721,24.25
DABUR,0.4166,11.07
DACIPL,0.4291,8.88
DAHCLD,0.4012,9.69
DAHIPL,0.5535,9.91
DAHNPL,0.466,60.0
DALAMIN,0.3498,11.32
DARCL,0.3314,11.4
DASAPI,0.5034,10.57
DASPPL,0.4303,11.68
DATL,0.3404,12.61
DAWFI,0.4708,12.38
DBASSKL,0.5293,35.27
DBCF,0.34,19.26
DBGC,0.4849,86.88
DBMRSPL,0.4873,60.0
DBPWR,0.4313,13.03
DCAJDC,0.5684,15.41
DCNOLI,0.3263,13.81
DDDEPL,0.4065,12.56
DDDHSL,0.3896,60.0
DDEUPL,0.3881,14.14
DDIPL,0.3387,12.58
DDPL,0.0624,10.59
DEAIPL,0.0656,7.27
DECOTC,0.4758,25.98
DEEFERT,0.5355,11.72
DEENIN,0.3843,17.6
DEGLPL,0.4079,14.61
DEGLRP,0.3892,12.64
DEHECF,0.4097,12.68
DEOPRP,0.4507,31.66
DESEPI,0.054,10.55
DESLIM,0.0361,21.36
DETECH,0.3883,22.8
