companyCode,companyName,total_facilities,cumulative,cum_pct
ARINDLT,Aarti Industries Limited,2850.0,2800130.0099999993,73.97540219146546
TINAIN,Tilaknagar Industries Limited,2850.0,2802980.0099999993,74.0506950869713
SCEIPL,Schneider Electric India Private Limited,2850.0,2805830.0099999993,74.12598798247714
GDS19027,Sarda Energy and Minerals Limited,2845.5,2808675.5099999993,74.20116199446375
EDLBKL,Nuvama Wealth and Investment Limited,2800.0,2811475.5099999993,74.27513396197826
OXFSPL,Oxyzo Financial Services Limited,2800.0,2814275.5099999993,74.34910592949275
APLHOSENTL,Apollo Hospitals Enterprise Limited,2800.0,2817075.5099999993,74.42307789700726
HIMSEID,Himatsingka Seide Limited,2738.98,2819814.4899999993,74.49543780400114
GDS22958,Andritz Hydro Private Limited,2660.0,2822474.4899999993,74.56571117313992
GDS12672,Welspun Enterprises Limited,2600.0,2825074.4899999993,74.63439942868911
STGTTL,Resonia Limited,2600.0,2827674.4899999993,74.70308768423828
ASHFCL,Motilal Oswal Home Finance Limited,2562.0,2830236.4899999993,74.77077203451404
GDS9436,Chemplast Cuddalore Vinyls Limited,2550.0,2832786.4899999993,74.8381393620719
HEHOFL,Hero Housing Finance Limited,2549.9999999999995,2835336.4899999993,74.90550668962975
VICPEL,Vivriti Capital Limited,2523.9999999999995,2837860.4899999993,74.97218713463211
GDS5186,GMR Warora Energy Limited,2520.0000000000005,2840380.4899999993,75.03876190539516
TPNODL,TP Northern Odisha Distribution Limited,2510.0,2842890.4899999993,75.10507249055995
MUTCAPI,Muthoot Capital Services Limited,2500.0,2845390.4899999993,75.17111889012646
LTMB,L&T - MHI Power Boilers Private Limited,2500.0,2847890.4899999993,75.23716528969298
KLGCC,Kalinga Commercial Corporation Limited,2500.0,2850390.4899999993,75.30321168925951
INDBIC,Sammaan Finserve Limited,2500.0,2852890.4899999993,75.36925808882603
SUNMUTF,Sundaram Mutual Fund,2500.0,2855390.4899999993,75.43530448839255
OTPOW,ONGC Tripura Power Company Limited,2494.0,2857884.4899999993,75.5011923766001
GDS5315,Eon Kharadi Infrastructure Private Limited,2450.0,2860334.4899999993,75.56591784817529
AUFIPL,Auxilo Finserve Private Limited,2450.0,2862784.4899999993,75.63064331975049
AVGPAL,Avaada Gjsolar Private Limited,2414.25,2865198.7399999993,75.69442432781187
JSWSS,JSW Severfield Structures Limited,2353.0,2867551.7399999993,75.75658719908388
